commodity,market,price_rwf,price_date
Cabbage,Kimisagara,374,2025-01-01
Sorghum,Kigali City Market,694,2025-01-01
Bananas,Kimironko,580,2025-01-01
Maize,Kimisagara,470,2025-01-03
Potatoes,Kigali City Market,833,2025-01-04
Cabbage,Kigali City Market,414,2025-01-04
Rice,Kimisagara,10111,2025-01-04
Sorghum,Kigali City Market,704,2025-01-04
Sorghum,Kimironko,688,2025-01-04
Rice,Kimironko,10654,2025-01-05
Bananas,Nyabugogo,569,2025-01-05
Spinach,Kimisagara,274,2025-01-05
Bananas,Kimironko,614,2025-01-05
Flour,Nyabugogo,3549,2025-01-06
Maize Flour,Kimironko,3725,2025-01-06
Bananas,Kicukiro,607,2025-01-08
Sorghum,Kimironko,675,2025-01-09
Maize Flour,Kimisagara,3448,2025-01-09
Maize,Nyabugogo,536,2025-01-10
Sorghum,Kigali City Market,756,2025-01-10
Potatoes,Kimisagara,770,2025-01-10
Flour,Kimisagara,3275,2025-01-10
Sorghum,Kigali City Market,703,2025-01-11
Rice,Nyabugogo,10411,2025-01-12
Maize Flour,Nyabugogo,3642,2025-01-12
Rice,Kimironko,11345,2025-01-12
Potatoes,Kicukiro,889,2025-01-13
Spinach,Kimisagara,299,2025-01-13
Flour,Kimisagara,3561,2025-01-13
Cabbage,Kimisagara,382,2025-01-15
Potatoes,Kimisagara,776,2025-01-16
Bananas,Kicukiro,652,2025-01-16
Spinach,Kimironko,308,2025-01-16
Spinach,Kicukiro,315,2025-01-17
Flour,Kigali City Market,3825,2025-01-17
Maize Flour,Kimisagara,3632,2025-01-17
Cabbage,Nyabugogo,415,2025-01-17
Spinach,Nyabugogo,311,2025-01-18
Flour,Kimironko,3608,2025-01-18
Beans (Dry),Kimironko,1272,2025-01-19
Beans (Dry),Kimisagara,1229,2025-01-20
Bananas,Kimisagara,598,2025-01-20
Spinach,Kigali City Market,345,2025-01-20
Spinach,Kimisagara,303,2025-01-21
Sorghum,Kicukiro,713,2025-01-21
Cabbage,Nyabugogo,398,2025-01-21
Cabbage,Kigali City Market,441,2025-01-22
Cabbage,Kicukiro,453,2025-01-22
Bananas,Kigali City Market,686,2025-01-22
Maize Flour,Kimisagara,3597,2025-01-22
Flour,Kicukiro,3711,2025-01-22
Maize,Kimisagara,493,2025-01-22
Rice,Kicukiro,11055,2025-01-23
Bananas,Kigali City Market,656,2025-01-23
Rice,Nyabugogo,10584,2025-01-23
Maize Flour,Kigali City Market,4114,2025-01-23
Beans (Dry),Kicukiro,1332,2025-01-24
Maize Flour,Kigali City Market,4304,2025-01-24
Sorghum,Kimironko,698,2025-01-24
Cabbage,Kimironko,456,2025-01-24
Bananas,Kigali City Market,702,2025-01-25
Flour,Kicukiro,3831,2025-01-25
Maize Flour,Kicukiro,4105,2025-01-26
Maize Flour,Nyabugogo,3711,2025-01-27
Flour,Kicukiro,3695,2025-01-27
Potatoes,Kigali City Market,870,2025-01-27
Beans (Dry),Kimironko,1287,2025-01-28
Sorghum,Kigali City Market,792,2025-01-29
Bananas,Kicukiro,652,2025-01-29
Sorghum,Nyabugogo,689,2025-01-30
Maize Flour,Nyabugogo,3817,2025-01-31
Rice,Kicukiro,11751,2025-01-31
Sorghum,Kimironko,769,2025-01-31
Cabbage,Kicukiro,487,2025-02-01
Sorghum,Kicukiro,718,2025-02-02
Beans (Dry),Kimironko,1298,2025-02-02
Sorghum,Kicukiro,751,2025-02-02
Rice,Kimironko,11603,2025-02-02
Bananas,Nyabugogo,618,2025-02-02
Sorghum,Kimisagara,694,2025-02-02
Spinach,Kicukiro,339,2025-02-03
Maize Flour,Kicukiro,4119,2025-02-03
Flour,Kimironko,3955,2025-02-04
Maize,Kimisagara,557,2025-02-04
Cabbage,Kigali City Market,477,2025-02-04
Sorghum,Nyabugogo,699,2025-02-05
Bananas,Nyabugogo,631,2025-02-05
Potatoes,Nyabugogo,820,2025-02-05
Maize Flour,Kigali City Market,4358,2025-02-05
Rice,Kigali City Market,11124,2025-02-05
Maize,Nyabugogo,543,2025-02-06
Spinach,Kigali City Market,351,2025-02-06
Flour,Kicukiro,4092,2025-02-06
Potatoes,Kimironko,912,2025-02-06
Beans (Dry),Kigali City Market,1452,2025-02-06
Potatoes,Kimironko,891,2025-02-06
Sorghum,Kimisagara,688,2025-02-06
Cabbage,Kicukiro,454,2025-02-07
Beans (Dry),Kigali City Market,1393,2025-02-07
Maize,Kicukiro,585,2025-02-07
Flour,Kimisagara,3557,2025-02-07
Rice,Kigali City Market,11493,2025-02-08
Spinach,Kimisagara,336,2025-02-10
Rice,Kimisagara,10451,2025-02-10
Cabbage,Nyabugogo,461,2025-02-10
Spinach,Kimisagara,335,2025-02-11
Potatoes,Kimironko,947,2025-02-12
Flour,Kicukiro,4111,2025-02-12
Flour,Kimisagara,3669,2025-02-12
Spinach,Kicukiro,349,2025-02-12
Flour,Kicukiro,3882,2025-02-12
Rice,Kicukiro,11865,2025-02-13
Maize Flour,Kimironko,4129,2025-02-14
Bananas,Kimisagara,621,2025-02-14
Potatoes,Nyabugogo,857,2025-02-15
Sorghum,Kicukiro,763,2025-02-15
Flour,Kigali City Market,4109,2025-02-16
Potatoes,Kimisagara,819,2025-02-16
Flour,Nyabugogo,3532,2025-02-16
Sorghum,Kicukiro,747,2025-02-17
Rice,Kicukiro,12066,2025-02-17
Cabbage,Kimisagara,417,2025-02-17
Maize,Kimironko,612,2025-02-18
Rice,Kigali City Market,11822,2025-02-18
Beans (Dry),Kigali City Market,1380,2025-02-18
Rice,Kimironko,11453,2025-02-19
Flour,Kicukiro,3947,2025-02-20
Maize Flour,Kigali City Market,4436,2025-02-20
Cabbage,Nyabugogo,466,2025-02-20
Beans (Dry),Kigali City Market,1473,2025-02-21
Sorghum,Kicukiro,784,2025-02-21
Bananas,Kigali City Market,756,2025-02-21
Maize Flour,Kimironko,4383,2025-02-22
Maize Flour,Kimisagara,3803,2025-02-22
Flour,Kigali City Market,3921,2025-02-23
Maize Flour,Kimironko,4281,2025-02-24
Potatoes,Nyabugogo,831,2025-02-24
Spinach,Kicukiro,360,2025-02-24
Spinach,Kimironko,372,2025-02-24
Rice,Kimironko,11497,2025-02-25
Cabbage,Kigali City Market,526,2025-02-25
Spinach,Kicukiro,376,2025-02-26
Rice,Kicukiro,11234,2025-02-26
Sorghum,Kimisagara,702,2025-02-26
Potatoes,Kigali City Market,966,2025-02-26
Rice,Nyabugogo,10822,2025-02-26
Flour,Nyabugogo,3865,2025-02-27
Maize,Kicukiro,628,2025-02-27
Spinach,Kigali City Market,404,2025-02-27
Spinach,Nyabugogo,349,2025-02-27
Maize,Kimironko,616,2025-02-27
Spinach,Kimironko,361,2025-02-28
Beans (Dry),Kimisagara,1310,2025-02-28
Flour,Kimisagara,3763,2025-02-28
Spinach,Kimisagara,357,2025-02-28
Spinach,Kimisagara,339,2025-03-01
Beans (Dry),Kigali City Market,1528,2025-03-01
Potatoes,Kimironko,931,2025-03-01
Maize,Nyabugogo,564,2025-03-01
Maize,Kimisagara,534,2025-03-02
Maize,Kicukiro,588,2025-03-02
Spinach,Kigali City Market,383,2025-03-03
Flour,Nyabugogo,3888,2025-03-03
Maize,Kimisagara,543,2025-03-06
Maize,Nyabugogo,554,2025-03-08
Flour,Kimisagara,3772,2025-03-08
Maize,Nyabugogo,577,2025-03-09
Maize,Nyabugogo,579,2025-03-09
Maize,Nyabugogo,569,2025-03-09
Maize,Kimisagara,562,2025-03-10
Maize Flour,Kimironko,4371,2025-03-10
Potatoes,Kicukiro,984,2025-03-10
Cabbage,Kimisagara,446,2025-03-11
Beans (Dry),Kicukiro,1462,2025-03-11
Rice,Kigali City Market,11805,2025-03-13
Maize,Kigali City Market,649,2025-03-13
Cabbage,Kimironko,505,2025-03-15
Beans (Dry),Kimironko,1484,2025-03-16
Potatoes,Kigali City Market,972,2025-03-16
Sorghum,Kimironko,806,2025-03-16
Potatoes,Kigali City Market,1023,2025-03-16
Spinach,Kicukiro,399,2025-03-16
Beans (Dry),Kimironko,1513,2025-03-16
Spinach,Kicukiro,392,2025-03-17
Maize Flour,Kimisagara,3799,2025-03-17
Bananas,Kicukiro,730,2025-03-18
Potatoes,Nyabugogo,869,2025-03-18
Spinach,Kimironko,373,2025-03-19
Flour,Kigali City Market,4091,2025-03-20
Maize Flour,Kigali City Market,4290,2025-03-20
Potatoes,Kicukiro,938,2025-03-20
Beans (Dry),Kicukiro,1544,2025-03-20
Maize,Kicukiro,593,2025-03-21
Maize Flour,Kimironko,4393,2025-03-21
Spinach,Kigali City Market,414,2025-03-22
Sorghum,Kimironko,793,2025-03-22
Maize,Kigali City Market,629,2025-03-22
Maize Flour,Kimisagara,3809,2025-03-23
Cabbage,Kimisagara,461,2025-03-23
Cabbage,Kimisagara,454,2025-03-23
Maize,Kimironko,621,2025-03-23
Beans (Dry),Kigali City Market,1460,2025-03-24
Sorghum,Kimisagara,745,2025-03-24
Rice,Kimironko,12042,2025-03-25
Beans (Dry),Kigali City Market,1451,2025-03-25
Rice,Kimironko,11272,2025-03-25
Spinach,Kimironko,379,2025-03-26
Flour,Kigali City Market,4107,2025-03-26
Potatoes,Kimironko,977,2025-03-27
Potatoes,Kicukiro,978,2025-03-27
Sorghum,Kigali City Market,840,2025-03-27
Sorghum,Kimironko,796,2025-03-28
Sorghum,Kimironko,817,2025-03-28
Bananas,Kimironko,749,2025-03-28
Spinach,Kigali City Market,418,2025-03-28
Maize,Kimironko,624,2025-03-29
Flour,Kicukiro,4227,2025-03-29
Maize Flour,Kigali City Market,4608,2025-03-29
Maize,Kigali City Market,668,2025-03-29
Maize Flour,Nyabugogo,3999,2025-03-30
Flour,Kimisagara,3801,2025-03-30
Beans (Dry),Kimironko,1433,2025-03-31
Spinach,Kimisagara,338,2025-03-31
Cabbage,Kimisagara,442,2025-03-31
Potatoes,Nyabugogo,878,2025-03-31
Beans (Dry),Nyabugogo,1359,2025-03-31
Maize,Kicukiro,596,2025-04-01
Flour,Kimisagara,3735,2025-04-01
Flour,Kimisagara,3647,2025-04-01
Cabbage,Kicukiro,489,2025-04-02
Sorghum,Kimisagara,710,2025-04-02
Beans (Dry),Nyabugogo,1387,2025-04-02
Flour,Kimironko,4169,2025-04-02
Maize Flour,Kicukiro,4227,2025-04-02
Spinach,Kimironko,380,2025-04-03
Bananas,Kigali City Market,792,2025-04-03
Bananas,Kigali City Market,771,2025-04-03
Rice,Kigali City Market,12455,2025-04-03
Cabbage,Kigali City Market,508,2025-04-04
Maize Flour,Kigali City Market,4611,2025-04-05
Bananas,Kimisagara,663,2025-04-05
Potatoes,Kimironko,936,2025-04-05
Maize,Kicukiro,602,2025-04-05
Potatoes,Kimisagara,841,2025-04-05
Potatoes,Kimisagara,876,2025-04-07
Maize Flour,Kicukiro,4510,2025-04-08
Cabbage,Nyabugogo,478,2025-04-08
Sorghum,Kicukiro,804,2025-04-08
Beans (Dry),Kicukiro,1521,2025-04-08
Flour,Kimironko,3906,2025-04-09
Rice,Kimironko,12081,2025-04-09
Spinach,Kicukiro,381,2025-04-10
Maize Flour,Kimironko,4105,2025-04-10
Sorghum,Kicukiro,829,2025-04-10
Potatoes,Nyabugogo,899,2025-04-11
Bananas,Kicukiro,790,2025-04-13
Maize,Kicukiro,650,2025-04-13
Cabbage,Kicukiro,533,2025-04-13
Flour,Nyabugogo,3852,2025-04-13
Potatoes,Kicukiro,1023,2025-04-13
Bananas,Kigali City Market,743,2025-04-13
Sorghum,Kicukiro,801,2025-04-13
Flour,Nyabugogo,3716,2025-04-14
Beans (Dry),Nyabugogo,1392,2025-04-14
Potatoes,Kicukiro,930,2025-04-14
Spinach,Kicukiro,392,2025-04-14
Sorghum,Nyabugogo,714,2025-04-15
Maize,Kigali City Market,624,2025-04-15
Beans (Dry),Kimironko,1439,2025-04-16
Bananas,Kigali City Market,777,2025-04-16
Flour,Nyabugogo,3784,2025-04-16
Beans (Dry),Kicukiro,1489,2025-04-16
Maize Flour,Kimisagara,3950,2025-04-17
Potatoes,Kimironko,921,2025-04-17
Sorghum,Kigali City Market,833,2025-04-17
Bananas,Nyabugogo,716,2025-04-18
Maize Flour,Nyabugogo,4015,2025-04-18
Maize Flour,Kicukiro,4449,2025-04-18
Potatoes,Nyabugogo,866,2025-04-19
Maize,Kicukiro,640,2025-04-20
Flour,Kimironko,3867,2025-04-20
Cabbage,Kigali City Market,513,2025-04-22
Sorghum,Kimironko,799,2025-04-22
Potatoes,Kigali City Market,942,2025-04-24
Maize Flour,Kigali City Market,4236,2025-04-24
Potatoes,Kigali City Market,1026,2025-04-24
Cabbage,Nyabugogo,470,2025-04-24
Cabbage,Kicukiro,504,2025-04-25
Sorghum,Kimisagara,718,2025-04-25
Flour,Nyabugogo,3663,2025-04-25
Sorghum,Nyabugogo,757,2025-04-26
Bananas,Kimironko,748,2025-04-26
Maize Flour,Kigali City Market,4544,2025-04-26
Bananas,Kicukiro,733,2025-04-27
Cabbage,Kimironko,498,2025-04-28
Rice,Kimironko,11657,2025-04-30
Cabbage,Kicukiro,514,2025-04-30
Beans (Dry),Nyabugogo,1309,2025-05-01
Bananas,Kigali City Market,779,2025-05-01
Maize Flour,Nyabugogo,4126,2025-05-01
Flour,Kimisagara,3707,2025-05-01
Rice,Kimisagara,10353,2025-05-01
Rice,Kimisagara,10386,2025-05-01
Rice,Kicukiro,12343,2025-05-01
Spinach,Kigali City Market,407,2025-05-01
Beans (Dry),Kigali City Market,1474,2025-05-02
Maize Flour,Kicukiro,4427,2025-05-03
Flour,Nyabugogo,3823,2025-05-03
Cabbage,Kimironko,500,2025-05-04
Sorghum,Kimironko,760,2025-05-05
Maize,Kimironko,609,2025-05-05
Potatoes,Kigali City Market,1009,2025-05-05
Potatoes,Kigali City Market,1019,2025-05-05
Bananas,Nyabugogo,658,2025-05-07
Sorghum,Nyabugogo,718,2025-05-07
Sorghum,Kimisagara,718,2025-05-08
Bananas,Kicukiro,761,2025-05-08
Spinach,Kimisagara,333,2025-05-08
Maize,Kimisagara,533,2025-05-09
Cabbage,Kigali City Market,500,2025-05-09
Spinach,Kimironko,368,2025-05-10
Rice,Kimisagara,11130,2025-05-11
Spinach,Kicukiro,373,2025-05-11
Maize,Kigali City Market,622,2025-05-11
Maize,Kicukiro,605,2025-05-12
Cabbage,Nyabugogo,440,2025-05-13
Maize Flour,Kimisagara,3853,2025-05-13
Sorghum,Kicukiro,781,2025-05-14
Spinach,Nyabugogo,332,2025-05-14
Potatoes,Kicukiro,911,2025-05-14
Sorghum,Kigali City Market,816,2025-05-14
Sorghum,Nyabugogo,686,2025-05-15
Sorghum,Kigali City Market,787,2025-05-15
Spinach,Nyabugogo,326,2025-05-16
Maize,Kigali City Market,631,2025-05-17
Bananas,Kigali City Market,710,2025-05-17
Flour,Kimisagara,3572,2025-05-18
Sorghum,Kimisagara,714,2025-05-19
Bananas,Kicukiro,716,2025-05-20
Maize,Nyabugogo,542,2025-05-20
Potatoes,Nyabugogo,860,2025-05-21
Cabbage,Kigali City Market,472,2025-05-21
Maize,Kimironko,617,2025-05-21
Maize,Kicukiro,616,2025-05-21
Rice,Kimisagara,10493,2025-05-22
Sorghum,Kimisagara,706,2025-05-22
Flour,Nyabugogo,3863,2025-05-22
Maize Flour,Kigali City Market,4310,2025-05-22
Sorghum,Kimisagara,677,2025-05-22
Potatoes,Kimironko,905,2025-05-22
Maize Flour,Kimisagara,3900,2025-05-22
Beans (Dry),Kigali City Market,1380,2025-05-23
Potatoes,Kicukiro,931,2025-05-23
Maize,Nyabugogo,530,2025-05-23
Sorghum,Kigali City Market,770,2025-05-23
Potatoes,Kigali City Market,952,2025-05-23
Potatoes,Kimisagara,836,2025-05-24
Cabbage,Kimisagara,412,2025-05-24
Cabbage,Kimironko,481,2025-05-25
Rice,Kimironko,11372,2025-05-25
Spinach,Kicukiro,356,2025-05-25
Sorghum,Kicukiro,776,2025-05-26
Potatoes,Kimisagara,795,2025-05-26
Bananas,Nyabugogo,625,2025-05-26
Potatoes,Kimisagara,836,2025-05-26
Sorghum,Kicukiro,748,2025-05-26
Flour,Kimisagara,3685,2025-05-26
Potatoes,Kimisagara,854,2025-05-27
Cabbage,Kicukiro,464,2025-05-27
Beans (Dry),Nyabugogo,1310,2025-05-27
Sorghum,Kimironko,761,2025-05-28
Potatoes,Kimisagara,821,2025-05-28
Potatoes,Kimisagara,790,2025-05-29
Potatoes,Nyabugogo,842,2025-05-29
Rice,Kimisagara,10881,2025-05-29
Flour,Kicukiro,4023,2025-05-30
Potatoes,Kimisagara,787,2025-05-31
Potatoes,Kicukiro,862,2025-05-31
Spinach,Kicukiro,335,2025-06-01
Maize Flour,Nyabugogo,3718,2025-06-01
Beans (Dry),Kimisagara,1273,2025-06-01
Beans (Dry),Kimisagara,1307,2025-06-01
Flour,Kimironko,3848,2025-06-03
Beans (Dry),Kimironko,1409,2025-06-04
Cabbage,Nyabugogo,418,2025-06-04
Beans (Dry),Kigali City Market,1396,2025-06-04
Beans (Dry),Kigali City Market,1388,2025-06-04
Rice,Kimironko,11888,2025-06-05
Potatoes,Kigali City Market,945,2025-06-05
Maize Flour,Kimironko,4013,2025-06-05
Spinach,Nyabugogo,316,2025-06-05
Spinach,Kicukiro,340,2025-06-06
Beans (Dry),Nyabugogo,1224,2025-06-06
Cabbage,Kicukiro,460,2025-06-07
Flour,Kimironko,3688,2025-06-07
Spinach,Kimisagara,310,2025-06-08
Flour,Kimironko,3958,2025-06-09
Rice,Kicukiro,11777,2025-06-09
Maize,Kigali City Market,615,2025-06-09
Potatoes,Kicukiro,909,2025-06-09
Spinach,Kimisagara,315,2025-06-09
Maize Flour,Kigali City Market,4439,2025-06-09
Flour,Kicukiro,4023,2025-06-10
Potatoes,Kimisagara,753,2025-06-11
Sorghum,Kimisagara,646,2025-06-11
Flour,Kimisagara,3678,2025-06-11
Beans (Dry),Kimironko,1308,2025-06-11
Spinach,Kimisagara,303,2025-06-11
