commodity,market,price_rwf,price_date
Rice,Nyabugogo,10060,2026-01-01
Maize,Kicukiro,547,2026-01-01
Maize,Nyabugogo,494,2026-01-01
Potatoes,Kimisagara,746,2026-01-01
Flour,Kigali City Market,3704,2026-01-02
Sorghum,Kimisagara,673,2026-01-02
Maize,Kicukiro,520,2026-01-02
Maize,Kigali City Market,532,2026-01-02
Maize Flour,Kigali City Market,3881,2026-01-03
Bananas,Nyabugogo,567,2026-01-03
Flour,Kigali City Market,3892,2026-01-03
Potatoes,Kicukiro,815,2026-01-03
Potatoes,Kigali City Market,848,2026-01-03
Cabbage,Kimisagara,397,2026-01-03
Rice,Kicukiro,11022,2026-01-03
Rice,Kicukiro,10927,2026-01-03
Sorghum,Kigali City Market,759,2026-01-03
Potatoes,Kimisagara,738,2026-01-03
Cabbage,Kimisagara,400,2026-01-04
Sorghum,Kimisagara,613,2026-01-04
Maize,Nyabugogo,510,2026-01-04
Bananas,Kimironko,581,2026-01-05
Cabbage,Kicukiro,444,2026-01-05
Flour,Kigali City Market,3823,2026-01-05
Bananas,Kigali City Market,603,2026-01-05
Beans (Dry),Nyabugogo,1200,2026-01-06
Sorghum,Kicukiro,694,2026-01-06
Flour,Kigali City Market,3752,2026-01-06
Cabbage,Kimisagara,397,2026-01-06
Maize Flour,Kimisagara,3604,2026-01-06
Sorghum,Kigali City Market,756,2026-01-07
Maize,Kimisagara,504,2026-01-07
Maize Flour,Kigali City Market,3937,2026-01-08
Rice,Kigali City Market,11227,2026-01-08
Maize,Kigali City Market,564,2026-01-08
Potatoes,Kimironko,843,2026-01-08
Cabbage,Kimisagara,386,2026-01-08
Flour,Nyabugogo,3578,2026-01-08
Maize Flour,Kimironko,3938,2026-01-09
Beans (Dry),Kigali City Market,1319,2026-01-09
Bananas,Kimisagara,568,2026-01-10
Rice,Kigali City Market,11095,2026-01-10
Bananas,Kimironko,644,2026-01-10
Beans (Dry),Kimironko,1284,2026-01-11
Bananas,Kigali City Market,653,2026-01-11
Bananas,Nyabugogo,578,2026-01-11
Beans (Dry),Nyabugogo,1242,2026-01-11
Maize,Kicukiro,532,2026-01-11
Spinach,Kigali City Market,321,2026-01-12
Maize Flour,Kigali City Market,4115,2026-01-12
Maize,Kimisagara,496,2026-01-12
Maize,Nyabugogo,503,2026-01-12
Potatoes,Kimironko,813,2026-01-12
Cabbage,Kimironko,418,2026-01-12
Maize,Kimironko,571,2026-01-12
Rice,Kimisagara,10476,2026-01-13
Maize,Nyabugogo,490,2026-01-13
Potatoes,Nyabugogo,748,2026-01-14
Rice,Nyabugogo,10383,2026-01-14
Spinach,Nyabugogo,305,2026-01-14
Rice,Kicukiro,11327,2026-01-14
Maize Flour,Kicukiro,3953,2026-01-14
Bananas,Kigali City Market,627,2026-01-14
Beans (Dry),Kigali City Market,1320,2026-01-15
Cabbage,Kicukiro,418,2026-01-15
Sorghum,Kimironko,695,2026-01-15
Cabbage,Nyabugogo,386,2026-01-15
Maize,Kigali City Market,569,2026-01-16
Beans (Dry),Kicukiro,1326,2026-01-16
Potatoes,Kimisagara,771,2026-01-16
Bananas,Kimironko,620,2026-01-16
Flour,Kimironko,3846,2026-01-16
Flour,Kimironko,3817,2026-01-16
Potatoes,Kigali City Market,896,2026-01-17
Maize,Kicukiro,562,2026-01-17
Bananas,Kimironko,635,2026-01-18
Rice,Kimisagara,9737,2026-01-18
Spinach,Nyabugogo,301,2026-01-18
Maize,Nyabugogo,529,2026-01-18
Bananas,Kimisagara,588,2026-01-18
Potatoes,Nyabugogo,781,2026-01-18
Flour,Kigali City Market,3868,2026-01-19
Spinach,Nyabugogo,312,2026-01-20
Spinach,Nyabugogo,314,2026-01-20
Sorghum,Kicukiro,750,2026-01-20
Maize,Kigali City Market,558,2026-01-21
Spinach,Kimisagara,296,2026-01-21
Rice,Kigali City Market,11875,2026-01-21
Rice,Kicukiro,10704,2026-01-21
Sorghum,Kicukiro,754,2026-01-22
Cabbage,Kimironko,434,2026-01-22
Spinach,Kicukiro,336,2026-01-22
Rice,Kicukiro,11163,2026-01-22
Flour,Kicukiro,3869,2026-01-22
Spinach,Kimironko,333,2026-01-22
Bananas,Kicukiro,688,2026-01-22
Rice,Kimisagara,10281,2026-01-22
Potatoes,Kicukiro,909,2026-01-22
Potatoes,Nyabugogo,803,2026-01-22
Beans (Dry),Nyabugogo,1201,2026-01-22
Beans (Dry),Kimironko,1349,2026-01-22
Potatoes,Nyabugogo,767,2026-01-23
Potatoes,Kimisagara,764,2026-01-23
Maize Flour,Kimisagara,3832,2026-01-23
Cabbage,Kicukiro,473,2026-01-23
Bananas,Kicukiro,679,2026-01-23
Potatoes,Kimironko,868,2026-01-23
Maize Flour,Kimisagara,3693,2026-01-23
Bananas,Kimisagara,612,2026-01-24
Maize Flour,Kimironko,4124,2026-01-24
Flour,Nyabugogo,3409,2026-01-24
Bananas,Kimironko,645,2026-01-24
Bananas,Kigali City Market,709,2026-01-24
Rice,Nyabugogo,10724,2026-01-24
Sorghum,Kimisagara,701,2026-01-24
Spinach,Kimironko,331,2026-01-25
Flour,Kimisagara,3366,2026-01-25
Potatoes,Nyabugogo,774,2026-01-25
Potatoes,Kigali City Market,885,2026-01-25
Bananas,Kicukiro,693,2026-01-25
Beans (Dry),Kimisagara,1185,2026-01-25
Potatoes,Kigali City Market,879,2026-01-26
